"item_cleaned","quantity"
UNKNOWN,1
Sandwich,2
Tea,5
Coffee,1
Coffee,4
Coffee,1
Cake,4
Tea,5
Tea,1
Sandwich,1
Cake,2
Smoothie,3
Smoothie,2
Juice,4
Coffee,1
Coffee,5
UNKNOWN,2
Cookie,5
Salad,4
Tea,1
Coffee,4
Coffee,4
Salad,3
Juice,5
Juice,2
Coffee,1
Salad,1
UNKNOWN,5
UNKNOWN,1
Smoothie,3
Salad,1
Smoothie,2
Smoothie,1
Cookie,4
Juice,4
Smoothie,1
Cake,4
Salad,2
Smoothie,2
Cake,5
Sandwich,4
Coffee,1
Salad,5
Coffee,2
Cookie,1
Juice,3
Juice,4
Salad,5
Salad,4
Cookie,2
Sandwich,1
Cookie,2
UNKNOWN,5
Coffee,1
Cookie,2
Tea,1
Tea,1
Sandwich,5
Coffee,4
UNKNOWN,5
UNKNOWN,4
Sandwich,5
Cake,2
Salad,4
Coffee,2
Salad,4
Coffee,4
Tea,3
Coffee,1
Juice,4
Cookie,1
Salad,3
Cookie,1
Tea,2
Tea,4
Salad,1
Salad,2
Coffee,4
Coffee,5
Smoothie,4
Cookie,1
Tea,5
Sandwich,1
Sandwich,5
Juice,3
Tea,4
Salad,2
Cake,5
Salad,4
Juice,4
Tea,4
Juice,2
Juice,1
Cake,3
UNKNOWN,4
Coffee,3
Cake,1
Sandwich,1
UNKNOWN,5
Coffee,5
Cookie,5
Salad,1
Smoothie,1
Coffee,1
UNKNOWN,1
Cake,5
Tea,1
Salad,5
Coffee,4
Salad,4
UNKNOWN,4
Coffee,2
Juice,4
Cookie,5
UNKNOWN,5
UNKNOWN,2
UNKNOWN,2
Sandwich,4
Coffee,2
UNKNOWN,3
Juice,4
Sandwich,3
Juice,1
Smoothie,2
Salad,4
Sandwich,5
Smoothie,3
Coffee,5
Sandwich,1
Cookie,4
Salad,4
Coffee,4
Salad,5
Smoothie,1
UNKNOWN,5
Salad,3
Salad,3
Tea,2
Salad,2
Sandwich,4
Coffee,1
Sandwich,1
Tea,3
Tea,5
Coffee,5
Sandwich,3
Tea,2
Smoothie,1
Coffee,3
Salad,1
Juice,4
Smoothie,5
Coffee,3
Tea,2
Cookie,1
UNKNOWN,1
Coffee,2
Coffee,1
Sandwich,2
Tea,4
Salad,1
Juice,2
Salad,4
Sandwich,2
Tea,2
Coffee,5
Cookie,5
Cookie,2
Sandwich,3
UNKNOWN,2
Cake,2
Tea,2
Salad,2
Salad,3
Sandwich,2
Smoothie,5
Sandwich,3
Salad,1
Juice,4
Juice,1
Coffee,1
Coffee,1
Sandwich,3
Cookie,4
Salad,5
Juice,5
UNKNOWN,4
Tea,2
Salad,1
Cookie,3
Cake,5
Cake,3
Tea,2
Coffee,5
Salad,1
Juice,4
Tea,3
Cake,2
Cake,2
Salad,2
Juice,3
Cookie,3
UNKNOWN,4
Juice,2
Sandwich,5
Smoothie,3
Salad,1
Cake,1
UNKNOWN,3
Cookie,3
Cake,3
Sandwich,5
Coffee,1
Cookie,2
Cake,2
Smoothie,1
Cookie,4
Cake,4
UNKNOWN,2
UNKNOWN,5
Sandwich,3
Cake,3
Cookie,2
Salad,1
Smoothie,1
UNKNOWN,3
Cookie,1
Smoothie,1
UNKNOWN,5
Cake,3
Salad,3
Tea,2
Sandwich,1
Cake,2
Salad,5
Juice,1
Cake,3
UNKNOWN,3
Cake,3
Tea,3
Tea,2
Sandwich,1
Smoothie,2
Juice,2
Coffee,5
Coffee,2
Cake,5
Tea,4
Cake,5
Cake,2
Tea,4
Juice,1
Smoothie,5
Smoothie,4
Cookie,1
Cake,3
Juice,2
Sandwich,3
Tea,4
Salad,2
Smoothie,1
Juice,1
Juice,2
Cake,2
Tea,3
Coffee,5
Sandwich,2
Juice,2
Smoothie,3
Tea,3
Coffee,5
Salad,5
Smoothie,2
UNKNOWN,1
Tea,3
UNKNOWN,2
Juice,4
Smoothie,3
UNKNOWN,2
Tea,4
Smoothie,5
Coffee,3
Salad,5
Salad,2
Sandwich,4
Salad,5
Tea,5
Cake,2
Cake,2
Tea,1
Coffee,2
Tea,4
Tea,5
Cake,3
UNKNOWN,3
UNKNOWN,2
Tea,3
Sandwich,3
Smoothie,5
Smoothie,3
Cookie,2
Smoothie,5
Sandwich,3
Sandwich,5
Tea,2
UNKNOWN,2
Juice,3
Coffee,4
Juice,4
Coffee,3
Cookie,3
Salad,1
UNKNOWN,5
Salad,5
Tea,1
Coffee,5
Juice,3
Salad,1
Cake,4
Juice,1
Sandwich,3
UNKNOWN,5
Smoothie,5
Cookie,2
Cake,1
Coffee,1
Sandwich,5
Cookie,2
Salad,1
Smoothie,1
Cookie,2
Cake,4
Coffee,3
Smoothie,4
Cookie,4
UNKNOWN,2
Cake,2
Coffee,2
Salad,3
Tea,4
Salad,3
Cookie,2
Coffee,2
Cookie,5
Coffee,2
Smoothie,2
Cake,4
Sandwich,1
Juice,5
Coffee,3
Juice,2
Sandwich,1
Salad,5
Juice,4
UNKNOWN,4
Salad,1
Cake,3
UNKNOWN,5
Juice,2
Juice,1
Cake,1
Sandwich,1
Smoothie,2
Salad,4
Coffee,1
Salad,2
UNKNOWN,5
Salad,4
Smoothie,3
Salad,2
Sandwich,2
Smoothie,5
Cookie,5
Salad,5
Cake,5
Salad,4
Tea,2
Cookie,4
Cake,3
Juice,3
Sandwich,4
Coffee,1
Smoothie,2
Juice,1
Coffee,4
Cake,4
Tea,5
Coffee,2
UNKNOWN,4
UNKNOWN,2
UNKNOWN,1
Tea,3
Cake,2
Juice,4
Smoothie,1
Cake,5
Juice,5
Coffee,1
Tea,2
Sandwich,4
Tea,4
Smoothie,1
Cookie,2
Sandwich,2
Coffee,4
UNKNOWN,3
Cookie,3
Tea,1
Smoothie,5
Salad,1
Juice,3
Cookie,3
Tea,2
UNKNOWN,2
Juice,5
Coffee,5
Cookie,5
Juice,3
Smoothie,5
Coffee,3
UNKNOWN,5
Smoothie,1
Coffee,1
Smoothie,5
Salad,1
Smoothie,1
Juice,3
Cookie,2
Coffee,5
UNKNOWN,2
Coffee,2
Tea,5
UNKNOWN,4
Tea,5
Smoothie,5
Cake,3
Cookie,4
Sandwich,3
Coffee,2
UNKNOWN,3
Cookie,3
Sandwich,1
Cookie,1
Juice,2
Cookie,1
Smoothie,2
Coffee,3
Smoothie,2
Salad,3
UNKNOWN,5
Tea,2
UNKNOWN,4
Sandwich,1
Salad,1
Cookie,5
Salad,4
Cookie,3
Coffee,4
Coffee,4
Sandwich,3
Juice,3
Cookie,5
Salad,4
Cake,5
Cookie,1
Sandwich,3
Tea,4
Sandwich,4
UNKNOWN,3
Salad,5
Juice,4
UNKNOWN,1
Cookie,1
Tea,4
Cookie,1
Cake,5
Cookie,4
Tea,4
Salad,5
Cookie,2
Cookie,4
Salad,3
Tea,4
Juice,1
Salad,5
Sandwich,5
Cake,4
Salad,4
Salad,3
Coffee,2
Salad,1
Smoothie,4
Sandwich,3
Coffee,3
Sandwich,1
Cookie,2
Coffee,4
Cookie,4
UNKNOWN,3
Sandwich,4
UNKNOWN,5
Cookie,5
Juice,5
Sandwich,4
Salad,3
Cookie,2
Coffee,4
Juice,4
Coffee,3
UNKNOWN,5
Cake,1
Salad,2
Sandwich,3
Coffee,4
Coffee,4
UNKNOWN,3
Sandwich,2
Tea,4
Cookie,5
Sandwich,2
Sandwich,2
Salad,2
Salad,3
Coffee,1
Cake,5
Cookie,2
Salad,4
Smoothie,3
Coffee,1
Juice,5
Smoothie,2
Smoothie,5
Cookie,5
Salad,5
Cookie,5
Juice,1
Juice,1
Cake,3
Juice,4
Salad,5
Cookie,3
UNKNOWN,1
UNKNOWN,4
Coffee,2
Tea,3
Cake,1
UNKNOWN,5
Juice,4
Cookie,3
Tea,3
Coffee,1
Cake,4
Smoothie,1
Sandwich,2
Tea,3
Salad,2
Smoothie,3
Cookie,1
Sandwich,4
Tea,5
Tea,3
Smoothie,5
Smoothie,5
Cookie,2
UNKNOWN,4
Juice,4
UNKNOWN,3
Coffee,5
Cookie,5
Salad,2
Sandwich,2
Salad,3
Sandwich,5
Coffee,5
Smoothie,3
Tea,3
Cake,5
Cake,5
Juice,2
Cake,3
Sandwich,1
Juice,3
Smoothie,5
Juice,2
Sandwich,2
Cookie,1
Cake,2
Sandwich,3
Cookie,2
Sandwich,2
Tea,2
Juice,1
Cookie,2
Salad,2
Cookie,5
Coffee,2
UNKNOWN,4
Salad,1
Sandwich,2
Salad,1
Coffee,4
Tea,5
Cake,4
Cookie,5
Tea,4
Tea,1
Sandwich,3
Smoothie,4
Cookie,2
Tea,5
Salad,1
Smoothie,4
Smoothie,1
Cookie,1
Sandwich,4
Cake,3
Salad,4
Coffee,3
Tea,2
Smoothie,1
Cookie,2
Smoothie,5
Cookie,5
Juice,2
UNKNOWN,3
UNKNOWN,4
Tea,3
Cake,1
Smoothie,1
Coffee,5
Tea,2
Cake,3
UNKNOWN,3
Cake,5
UNKNOWN,2
Juice,4
Juice,2
Cake,4
Smoothie,4
Coffee,1
Juice,3
Smoothie,4
Cake,1
Sandwich,4
Smoothie,2
Salad,4
Juice,3
Cake,3
Salad,3
Cookie,3
Smoothie,2
Salad,1
Smoothie,4
UNKNOWN,2
Sandwich,4
Sandwich,2
Cake,5
Salad,3
Coffee,5
Tea,5
UNKNOWN,1
UNKNOWN,3
Salad,1
UNKNOWN,4
Coffee,2
Smoothie,3
Salad,1
Tea,4
UNKNOWN,5
Sandwich,3
Tea,5
Salad,1
Cake,4
UNKNOWN,4
Cookie,1
Juice,3
Cake,4
Salad,1
Smoothie,5
Tea,4
Coffee,3
UNKNOWN,2
Cake,2
Cookie,5
Smoothie,3
Sandwich,4
Coffee,4
Salad,5
Salad,2
Sandwich,3
UNKNOWN,2
Salad,1
Smoothie,5
Smoothie,1
Smoothie,5
Cookie,4
Coffee,4
Smoothie,3
Salad,3
Juice,4
Tea,5
Tea,2
Sandwich,3
Juice,3
Cake,4
Juice,4
Coffee,5
Tea,4
Juice,3
Smoothie,4
Cake,3
Cake,2
Sandwich,5
Tea,3
Smoothie,4
Juice,5
Salad,3
Cake,2
Cookie,1
Salad,5
Coffee,2
Tea,3
Cookie,5
Sandwich,2
Smoothie,3
Cake,5
Juice,1
Sandwich,5
Juice,2
Smoothie,4
Cookie,4
Coffee,2
Juice,2
Tea,5
Coffee,5
Cake,4
UNKNOWN,5
Smoothie,1
Coffee,3
Coffee,5
Juice,3
Juice,3
UNKNOWN,4
Juice,1
Sandwich,5
Cookie,4
Juice,2
Juice,4
Juice,5
Coffee,1
Juice,5
UNKNOWN,5
Juice,4
Cookie,1
Tea,1
Juice,3
Tea,5
Smoothie,1
Salad,5
Juice,1
Coffee,5
Cake,2
Salad,5
Tea,4
Cake,4
Cake,4
Cookie,4
UNKNOWN,5
Salad,2
Salad,1
Smoothie,3
UNKNOWN,3
Juice,2
Sandwich,3
Tea,5
Sandwich,4
Smoothie,1
Smoothie,3
Salad,1
Cookie,2
Sandwich,3
Cake,5
Cake,2
Cake,1
Juice,3
Cake,5
Tea,5
Coffee,2
Cookie,5
Sandwich,5
Tea,3
Coffee,1
UNKNOWN,5
Juice,1
Salad,3
Cookie,2
Sandwich,4
Sandwich,3
Tea,3
UNKNOWN,1
Cookie,2
Cookie,3
Cookie,3
UNKNOWN,3
Cookie,2
Cake,2
Tea,2
Salad,1
Coffee,3
Coffee,3
Sandwich,3
UNKNOWN,1
Coffee,1
Juice,5
Smoothie,3
Tea,2
Cake,5
Juice,1
Juice,5
Juice,4
Sandwich,3
UNKNOWN,3
Coffee,2
Tea,5
Coffee,5
Juice,2
Cookie,1
Tea,1
Tea,2
Salad,2
Sandwich,2
Sandwich,3
Juice,4
Salad,3
Tea,1
Cookie,1
Smoothie,3
Coffee,1
Sandwich,5
Salad,2
UNKNOWN,1
Cake,1
Cookie,3
Juice,3
UNKNOWN,5
Coffee,1
Juice,2
Smoothie,5
Juice,2
Sandwich,5
Sandwich,1
Coffee,2
Coffee,5
Salad,5
Coffee,2
Salad,2
Cake,1
UNKNOWN,2
Sandwich,5
Sandwich,2
Salad,3
Juice,3
Sandwich,2
Salad,5
Tea,5
Salad,3
Juice,2
Juice,3
Tea,1
Sandwich,4
UNKNOWN,2
Coffee,3
Juice,5
UNKNOWN,5
Smoothie,5
Cake,5
Smoothie,3
UNKNOWN,3
Sandwich,2
Coffee,4
Coffee,3
Cookie,4
Salad,2
Cake,5
Cake,2
Cookie,5
Cookie,5
Cake,3
Salad,2
Sandwich,3
Smoothie,1
Sandwich,1
Smoothie,2
UNKNOWN,1
Cake,4
Salad,4
Sandwich,3
Coffee,3
Juice,4
UNKNOWN,5
Tea,1
UNKNOWN,2
Juice,3
Sandwich,3
UNKNOWN,3
Sandwich,1
UNKNOWN,1
Sandwich,4
Juice,5
Salad,2
Cookie,4
Tea,4
UNKNOWN,2
Cake,4
Coffee,5
UNKNOWN,1
Smoothie,4
Juice,4
Cake,1
Sandwich,1
Juice,1
Smoothie,5
Coffee,4
UNKNOWN,5
Coffee,1
Smoothie,4
Salad,5
Tea,2
Cookie,2
Smoothie,3
Salad,4
Tea,5
Salad,4
Sandwich,1
Coffee,1
Coffee,4
Juice,2
Tea,1
Salad,2
Salad,5
Tea,4
Smoothie,2
Cake,4
Coffee,4
Salad,4
Tea,2
Juice,4
Juice,3
Tea,3
Coffee,3
Smoothie,2
Tea,3
Smoothie,1
Cake,5
Cookie,1
Tea,2
Smoothie,4
Salad,1
Juice,2
Coffee,1
Juice,5
Cookie,5
Cookie,2
Smoothie,3
Tea,1
Coffee,2
Sandwich,5
UNKNOWN,3
Juice,1
Cake,2
Tea,2
Cake,2
Coffee,2
Coffee,3
Salad,1
Sandwich,5
Coffee,3
Cookie,2
Cake,5
Coffee,1
Cake,5
Smoothie,4
Salad,3
Cake,1
Sandwich,5
UNKNOWN,2
Coffee,3
Tea,3
Coffee,1
Tea,2
Sandwich,5
Salad,3
Coffee,3
Cake,4
Salad,4
UNKNOWN,5
Smoothie,3
Salad,4
Juice,4
Coffee,5
Sandwich,5
Smoothie,1
Cake,5
Juice,5
Tea,4
Cookie,1
UNKNOWN,1
Sandwich,3
Salad,5
Cake,2
Sandwich,2
Coffee,5
Tea,2
Juice,3
Salad,3
Salad,2
Sandwich,4
Salad,1
Smoothie,2
Coffee,5
Juice,1
Cookie,1
Smoothie,5
Coffee,5
Juice,5
Juice,3
Juice,1
Juice,5
Cookie,1
Tea,5
Cake,2
Tea,4
Smoothie,1
Cake,1
Salad,5
Sandwich,5
UNKNOWN,2
Coffee,5
Smoothie,5
Tea,1
Cake,3
Salad,1
Coffee,3
Smoothie,1
UNKNOWN,1
Cake,1
Salad,4
Smoothie,3
Tea,1
Cake,2
Smoothie,4
Sandwich,3
Salad,3
Juice,1
Sandwich,3
Tea,2
Smoothie,5
Tea,4
Smoothie,2
Sandwich,4
Sandwich,2
Salad,2
Juice,4
Salad,1
Coffee,4
Cake,5
Cookie,2
UNKNOWN,1
Smoothie,4
Tea,1
Cake,1
UNKNOWN,4
Sandwich,1
Cake,5
Coffee,4
Tea,4
Cookie,3
Coffee,4
UNKNOWN,2
Juice,2
Juice,5
Sandwich,4
Cake,5
Cake,3
Tea,2
Coffee,2
Juice,4
Smoothie,3
Coffee,2
Sandwich,5
Salad,5
Cake,4
Salad,2
Tea,4
Cake,1
Cookie,1
Juice,2
Tea,3
Smoothie,5
Tea,4
UNKNOWN,5
Cookie,2
Smoothie,1
Cake,2
Sandwich,2
Juice,5
Juice,5
Coffee,5
Sandwich,3
Smoothie,4
Smoothie,2
UNKNOWN,4
Coffee,2
Coffee,4
Sandwich,3
